epoch,accuracy,loss,val_accuracy,val_loss
0,0.9071950316429138,0.2263060212135315,0.9166449904441833,0.20240753889083862
1,0.9185494184494019,0.1969963163137436,0.9190045595169067,0.19523566961288452
2,0.9200762510299683,0.19204361736774445,0.9201295971870422,0.191789910197258
3,0.9209999442100525,0.18917597830295563,0.9208322167396545,0.1894053816795349
4,0.9217095971107483,0.18723613023757935,0.9213695526123047,0.187843456864357
5,0.922264814376831,0.18575553596019745,0.921775221824646,0.18699106574058533
6,0.9227002859115601,0.18469242751598358,0.9221793413162231,0.18595638871192932
7,0.9230713248252869,0.18380728363990784,0.9224435687065125,0.1852416843175888
8,0.9234111309051514,0.1831100732088089,0.9225289225578308,0.18491685390472412
9,0.9236406683921814,0.18255221843719482,0.9226847887039185,0.18470726907253265
10,0.9238852262496948,0.18204225599765778,0.9228503704071045,0.18459080159664154
11,0.924054741859436,0.18164117634296417,0.9228317141532898,0.1840011328458786
12,0.9242430329322815,0.18127523362636566,0.9228317141532898,0.18441782891750336
13,0.9244090914726257,0.18090921640396118,0.9228094816207886,0.18413397669792175
14,0.9245738983154297,0.18061384558677673,0.9229540228843689,0.18391922116279602
15,0.9247252941131592,0.1803685873746872,0.9229345917701721,0.18420468270778656
16,0.9249102473258972,0.18002846837043762,0.922981321811676,0.18418656289577484
17,0.9250384569168091,0.17977267503738403,0.9230226278305054,0.18406450748443604
18,0.9251890778541565,0.1795232892036438,0.922937273979187,0.18456779420375824
